Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,Population_Size,Mutation_Rate,Problem_Size,Seed
136,41.58870016399305,229.0,137141.0,1000,0.5,2048,1000,0.5,100,55
137,41.85571291804081,229.0,138142.0,1000,0.5,2048,1000,0.5,100,55
138,42.128210916009266,229.0,139143.0,1000,0.5,2048,1000,0.5,100,55
139,42.43557336402591,229.0,140144.0,1000,0.5,2048,1000,0.5,100,55
140,42.68814443401061,229.0,141145.0,1000,0.5,2048,1000,0.5,100,55
141,42.9791775290505,229.0,142146.0,1000,0.5,2048,1000,0.5,100,55
142,43.21697775402572,229.0,143147.0,1000,0.5,2048,1000,0.5,100,55
143,43.551444713026285,229.0,144148.0,1000,0.5,2048,1000,0.5,100,55
144,43.79494661302306,229.0,145149.0,1000,0.5,2048,1000,0.5,100,55
145,44.08255576604279,229.0,146150.0,1000,0.5,2048,1000,0.5,100,55
146,44.378712645033374,229.0,147151.0,1000,0.5,2048,1000,0.5,100,55
147,44.617194926016964,229.0,148152.0,1000,0.5,2048,1000,0.5,100,55
148,44.86362890905002,229.0,149153.0,1000,0.5,2048,1000,0.5,100,55
149,45.10572512302315,229.0,150154.0,1000,0.5,2048,1000,0.5,100,55
150,45.37178909505019,229.0,151155.0,1000,0.5,2048,1000,0.5,100,55
151,45.61330650001764,229.0,152156.0,1000,0.5,2048,1000,0.5,100,55
152,45.84696582099423,229.0,153157.0,1000,0.5,2048,1000,0.5,100,55
153,46.08526497404091,229.0,154158.0,1000,0.5,2048,1000,0.5,100,55
154,46.33993671403732,229.0,155159.0,1000,0.5,2048,1000,0.5,100,55
155,46.596774961042684,229.0,156160.0,1000,0.5,2048,1000,0.5,100,55
156,46.83205185004044,229.0,157161.0,1000,0.5,2048,1000,0.5,100,55
157,47.10599373100558,229.0,158162.0,1000,0.5,2048,1000,0.5,100,55
158,47.39312764501665,229.0,159163.0,1000,0.5,2048,1000,0.5,100,55
159,47.66548408701783,229.0,160164.0,1000,0.5,2048,1000,0.5,100,55
160,47.95029576099478,229.0,161165.0,1000,0.5,2048,1000,0.5,100,55
161,48.245217253046576,229.0,162166.0,1000,0.5,2048,1000,0.5,100,55
162,48.50186973303789,229.0,163167.0,1000,0.5,2048,1000,0.5,100,55
163,48.78268674202263,229.0,164168.0,1000,0.5,2048,1000,0.5,100,55
164,49.02097795903683,229.0,165169.0,1000,0.5,2048,1000,0.5,100,55
165,49.603962084045634,229.0,166170.0,1000,0.5,2048,1000,0.5,100,55
