Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time
1,109.0,2,0.0028443849878385663,"[6, 3, 7, 9, 1, 0, 0, 9, 3, 0, 6, 3, 2, 4, 1, 7, 2, 8, 6, 3, 8, 5, 9, 4, 6, 9, 2, 9, 8, 0, 2, 6, 2, 1, 2, 1, 9, 8, 4, 3, 3, 0, 8, 6, 0, 3, 2, 4, 2, 1]",exponential,250,0.005,0.001,249.996444544048,250,2048,exp_decay,50,888,0.6116540431976318
2,109.0,4,0.0047386299702338874,"[6, 3, 7, 9, 1, 3, 0, 9, 3, 0, 6, 3, 2, 4, 1, 7, 2, 8, 6, 3, 8, 5, 9, 4, 6, 9, 2, 9, 8, 0, 2, 6, 2, 1, 2, 1, 9, 8, 4, 3, 3, 0, 8, 6, 0, 3, 2, 4, 2, 1]",exponential,250,0.005,0.001,249.99407678270734,250,2048,exp_decay,50,888,0.6116540431976318
4,109.0,8,0.006639087980147451,"[6, 3, 7, 8, 1, 3, 0, 9, 3, 0, 6, 3, 2, 4, 1, 7, 2, 8, 6, 3, 8, 5, 9, 4, 6, 9, 2, 9, 8, 0, 2, 6, 2, 1, 2, 4, 9, 8, 4, 3, 3, 0, 8, 6, 0, 3, 2, 4, 2, 1]",exponential,250,0.005,0.001,249.99170127776543,250,2048,exp_decay,50,888,0.6116540431976318
8,109.0,16,0.009278126002755016,"[6, 3, 7, 8, 1, 3, 7, 9, 3, 0, 6, 3, 2, 4, 1, 7, 2, 8, 6, 3, 8, 5, 9, 5, 6, 9, 2, 9, 8, 0, 2, 6, 2, 1, 2, 4, 9, 8, 4, 3, 3, 5, 8, 6, 0, 3, 2, 4, 2, 6]",exponential,250,0.005,0.001,249.98840261150372,250,2048,exp_decay,50,888,0.6116540431976318
16,108.0,32,0.013294498960021883,"[6, 3, 7, 8, 1, 3, 5, 6, 3, 7, 6, 3, 2, 4, 6, 7, 2, 8, 6, 3, 8, 5, 9, 5, 6, 9, 2, 9, 8, 0, 2, 6, 2, 1, 2, 4, 9, 8, 4, 3, 3, 5, 8, 6, 0, 5, 4, 6, 2, 5]",exponential,250,0.005,0.001,249.9833824286118,250,2048,exp_decay,50,888,0.6116540431976318
32,110.0,64,0.01898854796309024,"[4, 3, 7, 8, 1, 3, 6, 0, 3, 7, 6, 3, 2, 4, 4, 7, 2, 8, 6, 0, 4, 9, 1, 2, 6, 9, 2, 9, 8, 9, 2, 6, 2, 8, 2, 4, 9, 8, 4, 0, 3, 5, 8, 9, 0, 5, 4, 6, 2, 1]",exponential,250,0.005,0.001,249.97626544177595,250,2048,exp_decay,50,888,0.6116540431976318
64,112.0,128,0.028234169993083924,"[4, 3, 7, 0, 2, 3, 6, 7, 3, 5, 6, 8, 2, 4, 4, 9, 2, 8, 4, 0, 2, 3, 1, 4, 1, 2, 7, 4, 8, 9, 6, 6, 2, 8, 9, 4, 9, 8, 8, 0, 0, 0, 8, 9, 5, 9, 4, 6, 6, 8]",exponential,250,0.005,0.001,249.96470977854256,250,2048,exp_decay,50,888,0.6116540431976318
128,106.0,256,0.04662245896179229,"[3, 0, 1, 3, 1, 6, 6, 7, 3, 5, 6, 8, 4, 4, 1, 9, 9, 7, 2, 0, 2, 1, 7, 9, 8, 6, 3, 1, 2, 6, 6, 7, 9, 0, 9, 9, 9, 1, 8, 3, 5, 8, 0, 0, 5, 6, 4, 6, 9, 8]",exponential,250,0.005,0.001,249.94172871843773,250,2048,exp_decay,50,888,0.6116540431976318
256,109.0,511,0.08929682901361957,"[6, 3, 0, 6, 7, 6, 0, 6, 2, 2, 6, 6, 4, 1, 0, 2, 8, 9, 5, 7, 9, 4, 0, 1, 8, 8, 6, 5, 8, 0, 1, 7, 7, 9, 6, 3, 7, 0, 8, 7, 1, 5, 9, 3, 1, 2, 7, 9, 9, 5]",exponential,250,0.005,0.001,249.88840387853628,250,2048,exp_decay,50,888,0.6116540431976318
512,110.0,1021,0.21699991496279836,"[1, 1, 7, 7, 5, 9, 5, 2, 3, 2, 2, 6, 4, 6, 0, 6, 7, 0, 8, 4, 4, 5, 8, 1, 9, 8, 5, 5, 4, 9, 3, 9, 3, 7, 4, 8, 5, 8, 3, 1, 1, 7, 1, 1, 4, 8, 1, 8, 6, 5]",exponential,250,0.005,0.001,249.72889720610027,250,2048,exp_decay,50,888,0.6116540431976318
1024,117.0,2003,0.5437611899687909,"[6, 5, 9, 7, 5, 8, 5, 3, 5, 9, 8, 6, 0, 3, 9, 5, 3, 3, 3, 2, 6, 9, 8, 6, 8, 7, 3, 6, 0, 3, 8, 1, 2, 9, 5, 1, 2, 7, 6, 5, 4, 0, 6, 9, 4, 4, 6, 6, 2, 0]",exponential,250,0.005,0.001,249.32122166395044,250,2048,exp_decay,50,888,0.6116540431976318
2048,123.0,2097,0.6000427599647082,"[6, 5, 9, 7, 9, 2, 4, 8, 7, 9, 5, 4, 0, 4, 1, 6, 3, 3, 3, 2, 8, 4, 8, 6, 8, 7, 3, 6, 0, 1, 5, 1, 2, 2, 5, 0, 2, 5, 6, 5, 5, 0, 6, 2, 9, 4, 6, 6, 0, 1]",exponential,250,0.005,0.001,249.25107058600264,250,2048,exp_decay,50,888,0.6116540431976318
0,111.0,0,0.000520726025570184,"[2, 5, 1, 4, 9, 5, 2, 1, 6, 1, 9, 7, 6, 0, 2, 9, 1, 2, 6, 7, 7, 7, 8, 7, 1, 7, 4, 0, 3, 5, 7, 3, 1, 5, 2, 5, 3, 8, 5, 2, 5, 3, 0, 6, 8, 0, 5, 6, 8, 9]",exponential,250,0.005,0.001,249.9993490933154,250,2048,exp_decay,50,12345,0.9844238758087158
1,111.0,2,0.003921455005183816,"[2, 5, 1, 4, 9, 5, 2, 1, 6, 1, 9, 7, 6, 0, 2, 9, 1, 2, 2, 7, 7, 7, 8, 7, 1, 7, 4, 0, 3, 5, 7, 3, 1, 5, 2, 5, 3, 8, 5, 2, 5, 3, 0, 6, 8, 0, 5, 6, 8, 9]",exponential,250,0.005,0.001,249.99509822929886,250,2048,exp_decay,50,12345,0.9844238758087158
2,111.0,4,0.006814669002778828,"[2, 5, 1, 4, 9, 5, 2, 1, 6, 1, 9, 7, 6, 0, 2, 9, 1, 2, 2, 7, 7, 7, 8, 7, 1, 7, 4, 0, 3, 5, 7, 3, 1, 5, 2, 5, 3, 8, 5, 2, 5, 3, 0, 6, 8, 0, 8, 6, 8, 9]",exponential,250,0.005,0.001,249.991481808869,250,2048,exp_decay,50,12345,0.9844238758087158
